ean,nombre,marca,medida,rubro,precio,precioNumerico
75076825,ANTITRANSP MEN CREMA CLEAN REXONA X 58 GRM,REXONA,GRM,Perfumería,"0,00",0.0
75076870,ANTITRANSP FEM CREMA CLINICAL XTRADRY REXONA X 58G,REXONA,GRM,Perfumería,"0,00",0.0
75078829,DESODORANTE MEN CREMA IN FRESH REXONA X 58 GRM,REXONA,GRM,Perfumería,"0,00",0.0
75078836,ANTITRANSP FEM CREMA CLINICAL REFRESH REXONA X 58G,REXONA,GRM,Perfumería,"0,00",0.0
75079437,ANTITRANSP FEM CREMA CLINICAL SOFT DOVE X 58GRS,DOVE,GRM,Perfumería,"0,00",0.0
75082734,ANTITRANSPIRANTE BARRA ORIGINAL DOVE X 53 GR,DOVE,GRM,Perfumería,"0,00",0.0
75082741,ANTITRANSPIRANTE BARRA INVISIBLE CARE DOVE X 53 GR,DOVE,GRM,Perfumería,"0,00",0.0
75083694,DESODORANTE STICK BLUE LAVENDER AXE X 58 GRM,AXE,GRM,Perfumería,"0,00",0.0
75083700,DESODORANTE STICK AQUA CITRUS AXE X 58 GRM,AXE,GRM,Perfumería,"0,00",0.0
77020512,PASTILLAS SABOR MENTA FRESCA TIC TAC X 16 GRS,TIC TAC,GRS,Almacén,"0,00",0.0
77900661,SAL FINA CELUSAL SALERO X 100 GRS,CELUSAL,GRM,Almacén,"0,00",0.0
77901019,HORMIGUICIDA HORTAL LIQUIDO X 120 CC,HORTAL,CM3,Almacén,"0,00",0.0
77901026,HORMIGUICIDA HOR TAL 250CC,HORTAL,CM3,Almacén,"0,00",0.0
77901729,ALFAJOR CHOCOLATE TRIPLE JORGELIN X 85 GRS,JORGELIN,GRM,Frutas y Verduras,"0,00",0.0
77903501,OBLEAS CLASICAS OPERA X 55 GRS,OPERA,GRM,Frutas y Verduras,"0,00",0.0
77903518,OBLEAS CLASICAS OPERA X 92 GRS,OPERA,GRM,Frutas y Verduras,"0,00",0.0
77903785,ALFAJOR TRIPLE MILKA MOUSSE X 55 GRS.,MILKA,GRM,Frutas y Verduras,"0,00",0.0
77903792,ALFAJOR CHOCOLATE TRIPLE TERRABUSI X 70 GRS,TERRABUSI,GRM,Frutas y Verduras,"0,00",0.0
77903860,ALFAJOR TERRABUSI TORTA X 70 GRS,TERRABUSI,GRM,Frutas y Verduras,"0,00",0.0
