supermercado,provincia,localidad,direccion,latitude,longitude
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Libertador 788,-34.5879297,-58.3837193
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Juan Bautista Alberdi 7071,-34.6593973,-58.5132111
Carrefour Express,Córdoba,Córdoba,Obispo Trejo 1166,-31.4288832,-64.1910209
Carrefour Express,Córdoba,Córdoba,Chacabuco 727,-31.4163736,-64.4826176
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Serrano 280,-34.5981681,-58.4450068
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. del Libertador 4534,-34.5667123,-58.4318113
Carrefour Express,Córdoba,Córdoba,Av. Pueyrredón 298,-31.4260341,-64.192817
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Congreso 2774,-34.5573191,-58.4658647
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Murguiondo 4054,-34.6758418,-58.4769407
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Rivadavia 4702,-34.6163891,-58.4318533
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Río de Janeiro 71,-34.6144653,-58.4299681
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Monroe 3131,-34.5624079,-58.4669846
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Bulnes 2751,-34.5806139,-58.4058839
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ramos Mejía 1019,-34.6039623,-58.4333098
Carrefour Market,Buenos Aires,Pilar,Panamericana Ramal Pilar,-34.4570918,-58.9141609
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Avellaneda 1034,-34.6147295,-58.4400847
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Boyacá 1082,-34.6159511,-58.4643315
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Rivadavia 2520,-34.6099997,-58.4021387
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Nazca 3214,-34.5990282,-58.4917372
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Montiel 1061,-34.6508467,-58.5257634
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ramón Falcón 5547,-34.6390809,-58.5049893
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Paseo Colón 1179,-34.6091392,-58.3696455
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Rivadavia 4119,-34.6126193,-58.4239531
Carrefour Hipermercado,Santa Cruz,Río Gallegos,Humberto Beghin 762,-51.6268852,-69.105804
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Aráoz 2148,-34.5881406,-58.4191239
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Lavalle 368,-34.6020497,-58.372073
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Amenábar 2710,-34.5578279,-58.4632385
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Bolívar 270,-34.6109283,-58.3733542
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Moreno 1401,-34.612247,-58.386319
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Viamonte 1380,-34.6006202,-58.3863998
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Ayacucho 1401,-34.592706,-58.39472
Carrefour Express,Buenos Aires,Caseros,San Martín 2218,-34.6025478,-58.5615882
Carrefour Express,Buenos Aires,Derqui,Av. de Mayo 432,-34.4894445,-58.8424494
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Pedro Goyena 188,-34.6255271,-58.4297741
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Boulogne Sur Mer 431,-34.6050781,-58.4067803
Carrefour Express,Córdoba,Córdoba,Alvear 126,-33.117985,-64.3489198
Carrefour Express,Córdoba,Córdoba,Gral. Paz 240,-32.6328038,-62.6894702
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Segurola 1441,-34.6226353,-58.49644
Carrefour Express,Córdoba,Córdoba,25 de Mayo 979,-31.4157728,-64.1695371
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Luis María Drago 285,-34.6015404,-58.4370226
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Bauness 2692,-34.5729024,-58.4895379
Carrefour Express,Córdoba,Córdoba,Belgrano 54,-31.415248,-64.1886662
Carrefour Express,Córdoba,Córdoba,San Martín 26,-31.4156957,-64.1837635
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Gral. Las Heras 2986,-34.6095579,-58.3887904
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Hipólito Yrigoyen 1790,-34.6103788,-58.3915528
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Viamonte 170,-34.5995499,-58.3702392
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Montiel 1718,-34.6570483,-58.5179988
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Av. Larrazábal 265,-34.6829105,-58.4620847
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Conesa 999,-34.5730857,-58.4511311
Carrefour Express,Capital Federal,Ciudad Autónoma de Buenos Aires,Juan Seguí 4524,-34.5741017,-58.4203799
